=== 家族模拟器 M1 (seed=42) ===
终止态:        EXTINCT_BLOOD
最终年份:      20
累计人口:      462
血脉断绝年份:  19
断绝原因:      已婚但终生未育 [E6_married_no_child]
血脉世代数:    0

    年份    人口   男血裔  曲线(人口|男血裔)
     0   285     1  ##############################|++++++++++++++++++++
     1   283     1  #############################|++++++++++++++++++++
     2   273     1  ############################|++++++++++++++++++++
     3   262     1  ###########################|++++++++++++++++++++
     4   260     1  ###########################|++++++++++++++++++++
     5   252     1  ##########################|++++++++++++++++++++
     6   245     1  #########################|++++++++++++++++++++
     7   242     1  #########################|++++++++++++++++++++
     8   240     1  #########################|++++++++++++++++++++
     9   238     1  #########################|++++++++++++++++++++
    10   234     1  ########################|++++++++++++++++++++
    11   232     1  ########################|++++++++++++++++++++
    12   224     1  #######################|++++++++++++++++++++
    13   218     1  ######################|++++++++++++++++++++
    14   212     1  ######################|++++++++++++++++++++
    15   206     1  #####################|++++++++++++++++++++
    16   206     1  #####################|++++++++++++++++++++
    17   203     1  #####################|++++++++++++++++++++
    18   204     1  #####################|++++++++++++++++++++
    19   205     0  #####################|
