seed,termination,extinct_year,reasons,final_year,max_lineage_gen,total_pop_ever,survived_years,sweep_key
0,EXTINCT_BLOOD,7,E1_no_male_born,8,0,408,7,{}
1,EXTINCT_BLOOD,57,E1_no_male_born,58,2,756,57,{}
2,EXTINCT_BLOOD,105,E2_male_unbred,106,2,1015,105,{}
3,EXTINCT_BLOOD,19,E1_no_male_born,20,0,491,19,{}
4,EXTINCT_BLOOD,52,E1_no_male_born,53,1,701,52,{}
5,EXTINCT_BLOOD,40,E1_no_male_born,41,1,644,40,{}
6,POP_CAP,,,280,12,50127,280,{}
7,EXTINCT_BLOOD,41,E1_no_male_born,42,1,627,41,{}
8,EXTINCT_BLOOD,26,E1_no_male_born,27,1,514,26,{}
9,EXTINCT_BLOOD,49,E1_no_male_born,50,2,694,49,{}
10,EXTINCT_BLOOD,21,E1_no_male_born,22,1,491,21,{}
11,EXTINCT_BLOOD,17,E1_no_male_born,18,0,534,17,{}
12,EXTINCT_BLOOD,19,E1_no_male_born,20,1,511,19,{}
13,EXTINCT_BLOOD,4,E1_no_male_born,5,0,345,4,{}
14,EXTINCT_BLOOD,70,E1_no_male_born,71,2,757,70,{}
15,EXTINCT_BLOOD,21,E1_no_male_born,22,1,513,21,{}
16,EXTINCT_BLOOD,122,E1_no_male_born,123,3,1864,122,{}
17,POP_CAP,,,298,13,51184,298,{}
18,EXTINCT_BLOOD,49,E1_no_male_born,50,1,729,49,{}
19,EXTINCT_BLOOD,28,E1_no_male_born,29,1,607,28,{}
20,EXTINCT_BLOOD,40,E1_no_male_born,41,2,678,40,{}
21,EXTINCT_BLOOD,31,E1_no_male_born,32,1,563,31,{}
22,EXTINCT_BLOOD,8,E1_no_male_born,9,0,376,8,{}
23,EXTINCT_BLOOD,31,E1_no_male_born,32,1,632,31,{}
24,EXTINCT_BLOOD,28,E1_no_male_born,29,1,612,28,{}
25,EXTINCT_BLOOD,6,E1_no_male_born,7,0,410,6,{}
26,POP_CAP,,,289,14,50880,289,{}
27,EXTINCT_BLOOD,12,E1_no_male_born,13,0,422,12,{}
28,EXTINCT_BLOOD,26,E1_no_male_born,27,1,516,26,{}
29,EXTINCT_BLOOD,76,E1_no_male_born,77,1,882,76,{}
30,POP_CAP,,,336,16,52253,336,{}
31,EXTINCT_BLOOD,15,E1_no_male_born,16,0,522,15,{}
32,EXTINCT_BLOOD,38,E1_no_male_born,39,0,706,38,{}
33,EXTINCT_BLOOD,5,E1_no_male_born,6,1,377,5,{}
34,EXTINCT_BLOOD,10,E1_no_male_born,11,1,414,10,{}
35,EXTINCT_BLOOD,39,E1_no_male_born,40,2,763,39,{}
36,EXTINCT_BLOOD,62,E1_no_male_born,63,1,746,62,{}
37,EXTINCT_BLOOD,55,E1_no_male_born,56,0,730,55,{}
38,POP_CAP,,,321,15,52589,321,{}
39,EXTINCT_BLOOD,207,E4_male_migrated,208,9,4353,207,{}
40,EXTINCT_BLOOD,51,E1_no_male_born,52,2,695,51,{}
41,POP_CAP,,,308,15,52306,308,{}
42,EXTINCT_BLOOD,30,E1_no_male_born,31,0,537,30,{}
43,EXTINCT_BLOOD,38,E1_no_male_born,39,1,663,38,{}
44,EXTINCT_BLOOD,141,E1_no_male_born,142,4,1299,141,{}
45,EXTINCT_BLOOD,57,E1_no_male_born,58,2,815,57,{}
46,EXTINCT_BLOOD,58,E1_no_male_born,59,0,788,58,{}
47,EXTINCT_BLOOD,124,E1_no_male_born,125,2,1648,124,{}
48,EXTINCT_BLOOD,8,E1_no_male_born,9,0,407,8,{}
49,EXTINCT_BLOOD,77,E1_no_male_born,78,2,971,77,{}
50,EXTINCT_BLOOD,48,E1_no_male_born,49,0,763,48,{}
51,EXTINCT_BLOOD,48,E1_no_male_born,49,2,729,48,{}
52,EXTINCT_BLOOD,34,E1_no_male_born,35,1,627,34,{}
53,EXTINCT_BLOOD,70,E1_no_male_born,71,2,827,70,{}
54,EXTINCT_BLOOD,53,E1_no_male_born,54,1,704,53,{}
55,EXTINCT_BLOOD,62,E1_no_male_born,63,2,1069,62,{}
56,EXTINCT_BLOOD,8,E1_no_male_born,9,0,427,8,{}
57,EXTINCT_BLOOD,0,E1_no_male_born,1,0,302,0,{}
58,EXTINCT_BLOOD,11,E1_no_male_born,12,0,435,11,{}
59,EXTINCT_BLOOD,36,E1_no_male_born,37,1,715,36,{}
60,EXTINCT_BLOOD,70,E1_no_male_born,71,2,889,70,{}
61,EXTINCT_BLOOD,9,E1_no_male_born,10,1,418,9,{}
62,EXTINCT_BLOOD,30,E1_no_male_born,31,0,574,30,{}
63,EXTINCT_BLOOD,34,E1_no_male_born,35,2,537,34,{}
64,EXTINCT_BLOOD,59,E1_no_male_born,60,2,769,59,{}
65,EXTINCT_BLOOD,9,E1_no_male_born,10,0,412,9,{}
66,EXTINCT_BLOOD,15,E1_no_male_born,16,0,484,15,{}
67,EXTINCT_BLOOD,20,E1_no_male_born,21,1,516,20,{}
68,EXTINCT_BLOOD,72,E1_no_male_born,73,3,861,72,{}
69,EXTINCT_BLOOD,40,E1_no_male_born,41,2,695,40,{}
70,EXTINCT_BLOOD,62,E1_no_male_born,63,2,839,62,{}
71,EXTINCT_BLOOD,139,E1_no_male_born,140,5,1554,139,{}
72,EXTINCT_BLOOD,74,E1_no_male_born,75,3,1034,74,{}
73,EXTINCT_BLOOD,9,E1_no_male_born,10,1,435,9,{}
74,EXTINCT_BLOOD,31,E1_no_male_born,32,1,655,31,{}
75,EXTINCT_BLOOD,34,E1_no_male_born,35,1,570,34,{}
76,EXTINCT_BLOOD,18,E1_no_male_born,19,1,502,18,{}
77,POP_CAP,,,298,15,51560,298,{}
78,EXTINCT_BLOOD,68,E1_no_male_born,69,3,785,68,{}
79,POP_CAP,,,326,16,51005,326,{}
80,EXTINCT_BLOOD,34,E1_no_male_born,35,1,567,34,{}
81,EXTINCT_BLOOD,20,E1_no_male_born,21,1,486,20,{}
82,EXTINCT_BLOOD,19,E1_no_male_born,20,0,494,19,{}
83,EXTINCT_BLOOD,24,E1_no_male_born,25,1,497,24,{}
84,EXTINCT_BLOOD,79,E1_no_male_born,80,1,917,79,{}
85,EXTINCT_BLOOD,8,E1_no_male_born,9,0,421,8,{}
86,EXTINCT_BLOOD,27,E1_no_male_born,28,1,520,27,{}
87,EXTINCT_BLOOD,7,E1_no_male_born,8,0,411,7,{}
88,EXTINCT_BLOOD,127,E2_male_unbred,128,4,1395,127,{}
89,EXTINCT_BLOOD,83,E1_no_male_born,84,3,988,83,{}
90,EXTINCT_BLOOD,64,E1_no_male_born,65,1,806,64,{}
91,POP_CAP,,,325,16,52289,325,{}
92,EXTINCT_BLOOD,24,E1_no_male_born,25,0,531,24,{}
93,EXTINCT_BLOOD,30,E1_no_male_born,31,1,570,30,{}
94,EXTINCT_BLOOD,145,E2_male_unbred,146,4,1743,145,{}
95,EXTINCT_BLOOD,26,E1_no_male_born,27,1,595,26,{}
96,EXTINCT_BLOOD,6,E1_no_male_born,7,0,385,6,{}
97,EXTINCT_BLOOD,9,E1_no_male_born,10,0,435,9,{}
98,EXTINCT_BLOOD,0,E1_no_male_born,1,0,302,0,{}
99,EXTINCT_BLOOD,1,E1_no_male_born,2,0,315,1,{}
100,EXTINCT_BLOOD,111,E1_no_male_born,112,4,1169,111,{}
101,EXTINCT_BLOOD,42,E1_no_male_born,43,2,764,42,{}
102,EXTINCT_BLOOD,24,E1_no_male_born,25,1,483,24,{}
103,EXTINCT_BLOOD,22,E1_no_male_born,23,1,509,22,{}
104,EXTINCT_BLOOD,23,E1_no_male_born,24,1,496,23,{}
105,EXTINCT_BLOOD,20,E1_no_male_born,21,1,521,20,{}
106,EXTINCT_BLOOD,4,E1_no_male_born,5,0,358,4,{}
107,EXTINCT_BLOOD,24,E1_no_male_born,25,0,543,24,{}
108,EXTINCT_BLOOD,177,E1_no_male_born,178,5,3705,177,{}
109,EXTINCT_BLOOD,1,E1_no_male_born,2,0,321,1,{}
110,EXTINCT_BLOOD,21,E1_no_male_born,22,1,535,21,{}
111,EXTINCT_BLOOD,0,E1_no_male_born,1,0,302,0,{}
112,EXTINCT_BLOOD,2,E1_no_male_born,3,1,329,2,{}
113,EXTINCT_BLOOD,29,E1_no_male_born,30,1,572,29,{}
114,EXTINCT_BLOOD,38,E1_no_male_born,39,1,725,38,{}
115,EXTINCT_BLOOD,31,E1_no_male_born,32,1,574,31,{}
116,EXTINCT_BLOOD,17,E1_no_male_born,18,1,459,17,{}
117,EXTINCT_BLOOD,90,E1_no_male_born,91,2,1190,90,{}
118,EXTINCT_BLOOD,37,E1_no_male_born,38,1,602,37,{}
119,EXTINCT_BLOOD,51,E1_no_male_born,52,1,710,51,{}
120,EXTINCT_BLOOD,6,E1_no_male_born,7,1,392,6,{}
121,EXTINCT_BLOOD,131,E4_male_migrated,132,5,2551,131,{}
122,EXTINCT_BLOOD,42,E1_no_male_born,43,1,619,42,{}
123,EXTINCT_BLOOD,100,E1_no_male_born,101,3,1531,100,{}
124,EXTINCT_BLOOD,63,E1_no_male_born,64,2,728,63,{}
125,EXTINCT_BLOOD,93,E1_no_male_born,94,1,1019,93,{}
126,EXTINCT_BLOOD,66,E1_no_male_born,67,2,839,66,{}
127,EXTINCT_BLOOD,34,E1_no_male_born,35,0,621,34,{}
128,EXTINCT_BLOOD,243,E4_male_migrated|E2_male_unbred,244,10,4857,243,{}
129,EXTINCT_BLOOD,49,E1_no_male_born,50,1,634,49,{}
130,EXTINCT_BLOOD,60,E1_no_male_born,61,0,733,60,{}
131,EXTINCT_BLOOD,32,E1_no_male_born,33,1,630,32,{}
132,EXTINCT_BLOOD,1,E1_no_male_born,2,0,316,1,{}
133,EXTINCT_BLOOD,85,E2_male_unbred,86,4,881,85,{}
134,EXTINCT_BLOOD,39,E1_no_male_born,40,0,612,39,{}
135,EXTINCT_BLOOD,3,E1_no_male_born,4,0,365,3,{}
136,EXTINCT_BLOOD,7,E1_no_male_born,8,1,385,7,{}
137,EXTINCT_BLOOD,65,E1_no_male_born,66,2,854,65,{}
138,POP_CAP,,,325,16,50772,325,{}
139,EXTINCT_BLOOD,39,E1_no_male_born,40,1,701,39,{}
140,EXTINCT_BLOOD,24,E1_no_male_born,25,1,505,24,{}
141,EXTINCT_BLOOD,144,E2_male_unbred,145,4,1614,144,{}
142,EXTINCT_BLOOD,29,E1_no_male_born,30,1,538,29,{}
143,EXTINCT_BLOOD,4,E1_no_male_born,5,0,374,4,{}
144,EXTINCT_BLOOD,39,E1_no_male_born,40,0,712,39,{}
145,EXTINCT_BLOOD,7,E1_no_male_born,8,1,392,7,{}
146,EXTINCT_BLOOD,31,E1_no_male_born,32,1,623,31,{}
147,EXTINCT_BLOOD,193,E4_male_migrated|E2_male_unbred,194,9,4146,193,{}
148,EXTINCT_BLOOD,20,E1_no_male_born,21,0,505,20,{}
149,EXTINCT_BLOOD,18,E1_no_male_born,19,1,487,18,{}
150,EXTINCT_BLOOD,19,E1_no_male_born,20,1,494,19,{}
151,POP_CAP,,,268,13,51917,268,{}
152,EXTINCT_BLOOD,13,E1_no_male_born,14,1,439,13,{}
153,EXTINCT_BLOOD,24,E1_no_male_born,25,1,553,24,{}
154,EXTINCT_BLOOD,25,E1_no_male_born,26,1,547,25,{}
155,EXTINCT_BLOOD,13,E1_no_male_born,14,1,453,13,{}
156,EXTINCT_BLOOD,62,E1_no_male_born,63,2,860,62,{}
157,EXTINCT_BLOOD,27,E1_no_male_born,28,1,571,27,{}
158,EXTINCT_BLOOD,30,E1_no_male_born,31,0,585,30,{}
159,EXTINCT_BLOOD,53,E1_no_male_born,54,2,719,53,{}
160,EXTINCT_BLOOD,14,E1_no_male_born,15,1,472,14,{}
161,EXTINCT_BLOOD,2,E1_no_male_born,3,1,332,2,{}
162,EXTINCT_BLOOD,46,E1_no_male_born,47,1,674,46,{}
163,EXTINCT_BLOOD,74,E1_no_male_born,75,2,968,74,{}
164,EXTINCT_BLOOD,2,E1_no_male_born,3,0,330,2,{}
165,EXTINCT_BLOOD,44,E1_no_male_born,45,2,653,44,{}
166,EXTINCT_BLOOD,6,E1_no_male_born,7,0,388,6,{}
167,EXTINCT_BLOOD,3,E1_no_male_born,4,1,337,3,{}
168,EXTINCT_BLOOD,28,E1_no_male_born,29,0,533,28,{}
169,EXTINCT_BLOOD,22,E1_no_male_born,23,1,537,22,{}
170,EXTINCT_BLOOD,41,E1_no_male_born,42,3,772,41,{}
171,EXTINCT_BLOOD,42,E1_no_male_born,43,1,616,42,{}
172,EXTINCT_BLOOD,28,E1_no_male_born,29,1,551,28,{}
173,EXTINCT_BLOOD,81,E1_no_male_born,82,1,1103,81,{}
174,EXTINCT_BLOOD,67,E1_no_male_born,68,2,775,67,{}
