seed,termination,extinct_year,reasons,final_year,max_lineage_gen,total_pop_ever,survived_years,sweep_key
0,EXTINCT_BLOOD,7,E1_no_male_born,8,0,408,7,{}
1,EXTINCT_BLOOD,57,E1_no_male_born,58,2,756,57,{}
2,EXTINCT_BLOOD,105,E2_male_unbred,106,2,1015,105,{}
3,EXTINCT_BLOOD,19,E1_no_male_born,20,0,491,19,{}
4,EXTINCT_BLOOD,52,E1_no_male_born,53,1,701,52,{}
5,EXTINCT_BLOOD,40,E1_no_male_born,41,1,644,40,{}
6,POP_CAP,,,280,12,50127,280,{}
7,EXTINCT_BLOOD,41,E1_no_male_born,42,1,627,41,{}
8,EXTINCT_BLOOD,26,E1_no_male_born,27,1,514,26,{}
9,EXTINCT_BLOOD,49,E1_no_male_born,50,2,694,49,{}
10,EXTINCT_BLOOD,21,E1_no_male_born,22,1,491,21,{}
11,EXTINCT_BLOOD,17,E1_no_male_born,18,0,534,17,{}
12,EXTINCT_BLOOD,19,E1_no_male_born,20,1,511,19,{}
13,EXTINCT_BLOOD,4,E1_no_male_born,5,0,345,4,{}
14,EXTINCT_BLOOD,70,E1_no_male_born,71,2,757,70,{}
15,EXTINCT_BLOOD,21,E1_no_male_born,22,1,513,21,{}
16,EXTINCT_BLOOD,122,E1_no_male_born,123,3,1864,122,{}
17,POP_CAP,,,298,13,51184,298,{}
18,EXTINCT_BLOOD,49,E1_no_male_born,50,1,729,49,{}
19,EXTINCT_BLOOD,28,E1_no_male_born,29,1,607,28,{}
