seed,termination,extinct_year,reasons,final_year,max_lineage_gen,total_pop_ever,survived_years,sweep_key,parity_cap_base
0,EXTINCT_BLOOD,7,E1_no_male_born,8,0,408,7,"{""parity_cap_base"": 5}",5
1,EXTINCT_BLOOD,57,E1_no_male_born,58,2,756,57,"{""parity_cap_base"": 5}",5
2,EXTINCT_BLOOD,105,E2_male_unbred,106,2,1015,105,"{""parity_cap_base"": 5}",5
3,EXTINCT_BLOOD,19,E1_no_male_born,20,0,491,19,"{""parity_cap_base"": 5}",5
4,EXTINCT_BLOOD,52,E1_no_male_born,53,1,701,52,"{""parity_cap_base"": 5}",5
5,EXTINCT_BLOOD,40,E1_no_male_born,41,1,644,40,"{""parity_cap_base"": 5}",5
6,POP_CAP,,,280,12,50127,280,"{""parity_cap_base"": 5}",5
7,EXTINCT_BLOOD,41,E1_no_male_born,42,1,627,41,"{""parity_cap_base"": 5}",5
8,EXTINCT_BLOOD,26,E1_no_male_born,27,1,514,26,"{""parity_cap_base"": 5}",5
9,EXTINCT_BLOOD,49,E1_no_male_born,50,2,694,49,"{""parity_cap_base"": 5}",5
10,EXTINCT_BLOOD,21,E1_no_male_born,22,1,491,21,"{""parity_cap_base"": 5}",5
11,EXTINCT_BLOOD,17,E1_no_male_born,18,0,534,17,"{""parity_cap_base"": 5}",5
12,EXTINCT_BLOOD,19,E1_no_male_born,20,1,511,19,"{""parity_cap_base"": 5}",5
13,EXTINCT_BLOOD,4,E1_no_male_born,5,0,345,4,"{""parity_cap_base"": 5}",5
14,EXTINCT_BLOOD,70,E1_no_male_born,71,2,757,70,"{""parity_cap_base"": 5}",5
15,EXTINCT_BLOOD,21,E1_no_male_born,22,1,513,21,"{""parity_cap_base"": 5}",5
16,EXTINCT_BLOOD,122,E1_no_male_born,123,3,1864,122,"{""parity_cap_base"": 5}",5
17,POP_CAP,,,298,13,51184,298,"{""parity_cap_base"": 5}",5
18,EXTINCT_BLOOD,49,E1_no_male_born,50,1,729,49,"{""parity_cap_base"": 5}",5
19,EXTINCT_BLOOD,28,E1_no_male_born,29,1,607,28,"{""parity_cap_base"": 5}",5
20,EXTINCT_BLOOD,40,E1_no_male_born,41,2,678,40,"{""parity_cap_base"": 5}",5
21,EXTINCT_BLOOD,31,E1_no_male_born,32,1,563,31,"{""parity_cap_base"": 5}",5
22,EXTINCT_BLOOD,8,E1_no_male_born,9,0,376,8,"{""parity_cap_base"": 5}",5
23,EXTINCT_BLOOD,31,E1_no_male_born,32,1,632,31,"{""parity_cap_base"": 5}",5
24,EXTINCT_BLOOD,28,E1_no_male_born,29,1,612,28,"{""parity_cap_base"": 5}",5
25,EXTINCT_BLOOD,6,E1_no_male_born,7,0,410,6,"{""parity_cap_base"": 5}",5
26,POP_CAP,,,289,14,50880,289,"{""parity_cap_base"": 5}",5
27,EXTINCT_BLOOD,12,E1_no_male_born,13,0,422,12,"{""parity_cap_base"": 5}",5
28,EXTINCT_BLOOD,26,E1_no_male_born,27,1,516,26,"{""parity_cap_base"": 5}",5
29,EXTINCT_BLOOD,76,E1_no_male_born,77,1,882,76,"{""parity_cap_base"": 5}",5
0,EXTINCT_BLOOD,7,E1_no_male_born,8,0,413,7,"{""parity_cap_base"": 8}",8
1,EXTINCT_BLOOD,56,E1_no_male_born,57,1,772,56,"{""parity_cap_base"": 8}",8
2,EXTINCT_BLOOD,11,E1_no_male_born,12,1,427,11,"{""parity_cap_base"": 8}",8
3,EXTINCT_BLOOD,42,E1_no_male_born,43,1,727,42,"{""parity_cap_base"": 8}",8
4,EXTINCT_BLOOD,211,E4_male_migrated,212,8,3777,211,"{""parity_cap_base"": 8}",8
5,EXTINCT_BLOOD,15,E1_no_male_born,16,1,470,15,"{""parity_cap_base"": 8}",8
6,EXTINCT_BLOOD,23,E1_no_male_born,24,1,581,23,"{""parity_cap_base"": 8}",8
7,EXTINCT_BLOOD,21,E1_no_male_born,22,1,484,21,"{""parity_cap_base"": 8}",8
8,POP_CAP,,,243,11,51543,243,"{""parity_cap_base"": 8}",8
9,POP_CAP,,,262,12,52131,262,"{""parity_cap_base"": 8}",8
10,EXTINCT_BLOOD,5,E1_no_male_born,6,0,389,5,"{""parity_cap_base"": 8}",8
11,EXTINCT_BLOOD,60,E1_no_male_born,61,0,1178,60,"{""parity_cap_base"": 8}",8
12,EXTINCT_BLOOD,52,E2_male_unbred,53,2,835,52,"{""parity_cap_base"": 8}",8
13,EXTINCT_BLOOD,4,E1_no_male_born,5,0,345,4,"{""parity_cap_base"": 8}",8
14,EXTINCT_BLOOD,54,E1_no_male_born,55,1,697,54,"{""parity_cap_base"": 8}",8
15,EXTINCT_BLOOD,194,E4_male_migrated,195,7,6866,194,"{""parity_cap_base"": 8}",8
16,EXTINCT_BLOOD,40,E1_no_male_born,41,1,618,40,"{""parity_cap_base"": 8}",8
17,EXTINCT_BLOOD,15,E1_no_male_born,16,0,489,15,"{""parity_cap_base"": 8}",8
18,EXTINCT_BLOOD,140,E4_male_migrated,141,4,2408,140,"{""parity_cap_base"": 8}",8
19,EXTINCT_BLOOD,39,E1_no_male_born,40,1,730,39,"{""parity_cap_base"": 8}",8
20,EXTINCT_BLOOD,51,E1_no_male_born,52,1,746,51,"{""parity_cap_base"": 8}",8
21,EXTINCT_BLOOD,58,E1_no_male_born,59,2,816,58,"{""parity_cap_base"": 8}",8
22,EXTINCT_BLOOD,8,E1_no_male_born,9,0,376,8,"{""parity_cap_base"": 8}",8
23,EXTINCT_BLOOD,44,E1_no_male_born,45,1,719,44,"{""parity_cap_base"": 8}",8
24,EXTINCT_BLOOD,121,E1_no_male_born,122,3,2272,121,"{""parity_cap_base"": 8}",8
25,EXTINCT_BLOOD,93,E1_no_male_born,94,1,1175,93,"{""parity_cap_base"": 8}",8
26,EXTINCT_BLOOD,7,E1_no_male_born,8,0,400,7,"{""parity_cap_base"": 8}",8
27,EXTINCT_BLOOD,12,E1_no_male_born,13,0,422,12,"{""parity_cap_base"": 8}",8
28,EXTINCT_BLOOD,57,E1_no_male_born,58,1,774,57,"{""parity_cap_base"": 8}",8
29,POP_CAP,,,304,15,51064,304,"{""parity_cap_base"": 8}",8
